opcode,mnemonic,addressing mode,bytes,cycles,illegal,flags
0x00  ,BRK     ,IMP            ,1    ,7     ,false  ,czidbvn
0x01  ,ORA     ,INDX           ,2    ,6     ,false  ,cZidbvN
0x02  ,KIL     ,IMP            ,1    ,0     ,true   ,czidbvn
0x03  ,SLO     ,INDX           ,2    ,3     ,true   ,CZidbvN
0x04  ,NOP     ,ZP             ,2    ,3     ,true   ,czidbvn
0x05  ,ORA     ,ZP             ,2    ,3     ,false  ,cZidbvN
0x06  ,ASL     ,ZP             ,2    ,5     ,false  ,CZidbvN
0x07  ,SLO     ,ZP             ,2    ,3     ,true   ,CZidbvN
0x08  ,PHP     ,IMP            ,1    ,3     ,false  ,czidbvn
0x09  ,ORA     ,IMM            ,2    ,2     ,false  ,cZidbvN
0x0a  ,ASL     ,ACC            ,1    ,2     ,false  ,CZidbvN
0x0b  ,ANC     ,IMM            ,2    ,3     ,true   ,CZidbvN
0x0c  ,NOP     ,ABS            ,3    ,4     ,true   ,czidbvn
0x0d  ,ORA     ,ABS            ,3    ,4     ,false  ,cZidbvN
0x0e  ,ASL     ,ABS            ,3    ,6     ,false  ,CZidbvN
0x0f  ,SLO     ,ABS            ,3    ,3     ,true   ,CZidbvN
0x10  ,BPL     ,REL            ,2    ,2/3   ,false  ,czidbvn
0x11  ,ORA     ,INDY           ,2    ,5/6   ,false  ,cZidbvN
0x12  ,KIL     ,IMP            ,1    ,0     ,true   ,czidbvn
0x13  ,SLO     ,INDY           ,2    ,3     ,true   ,CZidbvN
0x14  ,NOP     ,ZPX            ,2    ,4     ,true   ,czidbvn
0x15  ,ORA     ,ZPX            ,2    ,4     ,false  ,cZidbvN
0x16  ,ASL     ,ZPX            ,2    ,6     ,false  ,CZidbvN
0x17  ,SLO     ,ZPX            ,2    ,3     ,true   ,CZidbvN
0x18  ,CLC     ,IMP            ,1    ,2     ,false  ,Czidbvn
0x19  ,ORA     ,ABSY           ,3    ,4/5   ,false  ,cZidbvN
0x1a  ,NOP     ,IMP            ,1    ,2     ,true   ,czidbvn
0x1b  ,SLO     ,ABSY           ,3    ,3     ,true   ,CZidbvN
0x1c  ,NOP     ,ABSX           ,3    ,4/5   ,true   ,czidbvn
0x1d  ,ORA     ,ABSX           ,3    ,4/5   ,false  ,cZidbvN
0x1e  ,ASL     ,ABSX           ,3    ,7     ,false  ,CZidbvN
0x1f  ,SLO     ,ABSX           ,3    ,3     ,true   ,CZidbvN
0x20  ,JSR     ,ABS            ,3    ,6     ,false  ,czidbvn
0x21  ,AND     ,INDX           ,2    ,6     ,false  ,cZidbvN
0x22  ,KIL     ,IMP            ,1    ,0     ,true   ,czidbvn
0x23  ,RLA     ,INDX           ,2    ,3     ,true   ,CZidbvN
0x24  ,BIT     ,ZP             ,2    ,3     ,false  ,cZidbVN
0x25  ,AND     ,ZP             ,2    ,3     ,false  ,cZidbvN
0x26  ,ROL     ,ZP             ,2    ,5     ,false  ,CZidbvN
0x27  ,RLA     ,ZP             ,2    ,3     ,true   ,CZidbvN
0x28  ,PLP     ,IMP            ,1    ,4     ,false  ,CZIDBVN
0x29  ,AND     ,IMM            ,2    ,2     ,false  ,cZidbvN
0x2a  ,ROL     ,ACC            ,1    ,2     ,false  ,CZidbvN
0x2b  ,ANC     ,IMM            ,2    ,3     ,true   ,CZidbvN
0x2c  ,BIT     ,ABS            ,3    ,4     ,false  ,cZidbVN
0x2d  ,AND     ,ABS            ,3    ,4     ,false  ,cZidbvN
0x2e  ,ROL     ,ABS            ,3    ,6     ,false  ,CZidbvN
0x2f  ,RLA     ,ABS            ,3    ,3     ,true   ,CZidbvN
0x30  ,BMI     ,REL            ,2    ,2/3   ,false  ,czidbvn
0x31  ,AND     ,INDY           ,2    ,5/6   ,false  ,cZidbvN
0x32  ,KIL     ,IMP            ,1    ,0     ,true   ,czidbvn
0x33  ,RLA     ,INDY           ,2    ,3     ,true   ,CZidbvN
0x34  ,NOP     ,ZPX            ,2    ,4     ,true   ,czidbvn
0x35  ,AND     ,ZPX            ,2    ,4     ,false  ,cZidbvN
0x36  ,ROL     ,ZPX            ,2    ,6     ,false  ,CZidbvN
0x37  ,RLA     ,ZPX            ,2    ,3     ,true   ,CZidbvN
0x38  ,SEC     ,IMP            ,1    ,2     ,false  ,Czidbvn
0x39  ,AND     ,ABSY           ,3    ,4/5   ,false  ,cZidbvN
0x3a  ,NOP     ,IMP            ,1    ,2     ,true   ,czidbvn
0x3b  ,RLA     ,ABSY           ,3    ,3     ,true   ,CZidbvN
0x3c  ,NOP     ,ABSX           ,3    ,4/5   ,true   ,czidbvn
0x3d  ,AND     ,ABSX           ,3    ,4/5   ,false  ,cZidbvN
0x3e  ,ROL     ,ABSX           ,3    ,7     ,false  ,CZidbvN
0x3f  ,RLA     ,ABSX           ,3    ,3     ,true   ,CZidbvN
0x40  ,RTI     ,IMP            ,1    ,6     ,false  ,czidbvn
0x41  ,EOR     ,INDX           ,2    ,6     ,false  ,cZidbvN
0x42  ,KIL     ,IMP            ,1    ,0     ,true   ,czidbvn
0x43  ,SRE     ,INDX           ,2    ,3     ,true   ,CZidbvN
0x44  ,NOP     ,ZP             ,2    ,3     ,true   ,czidbvn
0x45  ,EOR     ,ZP             ,2    ,3     ,false  ,cZidbvN
0x46  ,LSR     ,ZP             ,2    ,5     ,false  ,CZidbvN
0x47  ,SRE     ,ZP             ,2    ,3     ,true   ,CZidbvN
0x48  ,PHA     ,IMP            ,1    ,3     ,false  ,czidbvn
0x49  ,EOR     ,IMM            ,2    ,2     ,false  ,cZidbvN
0x4a  ,LSR     ,ACC            ,1    ,2     ,false  ,CZidbvN
0x4b  ,ALR     ,IMM            ,2    ,3     ,true   ,CZidbvN
0x4c  ,JMP     ,ABS            ,3    ,3     ,false  ,czidbvn
0x4d  ,EOR     ,ABS            ,3    ,4     ,false  ,cZidbvN
0x4e  ,LSR     ,ABS            ,3    ,6     ,false  ,CZidbvN
0x4f  ,SRE     ,ABS            ,3    ,3     ,true   ,CZidbvN
0x50  ,BVC     ,REL            ,2    ,2/3   ,false  ,czidbvn
0x51  ,EOR     ,INDY           ,2    ,5/6   ,false  ,cZidbvN
0x52  ,KIL     ,IMP            ,1    ,0     ,true   ,czidbvn
0x53  ,SRE     ,INDY           ,2    ,3     ,true   ,CZidbvN
0x54  ,NOP     ,ZPX            ,2    ,4     ,true   ,czidbvn
0x55  ,EOR     ,ZPX            ,2    ,4     ,false  ,cZidbvN
0x56  ,LSR     ,ZPX            ,2    ,6     ,false  ,CZidbvN
0x57  ,SRE     ,ZPX            ,2    ,3     ,true   ,CZidbvN
0x58  ,CLI     ,IMP            ,1    ,2     ,false  ,czIdbvn
0x59  ,EOR     ,ABSY           ,3    ,4/5   ,false  ,cZidbvN
0x5a  ,NOP     ,IMP            ,1    ,2     ,true   ,czidbvn
0x5b  ,SRE     ,ABSY           ,3    ,3     ,true   ,CZidbvN
0x5c  ,NOP     ,ABSX           ,3    ,4/5   ,true   ,czidbvn
0x5d  ,EOR     ,ABSX           ,3    ,4/5   ,false  ,cZidbvN
0x5e  ,LSR     ,ABSX           ,3    ,7     ,false  ,CZidbvN
0x5f  ,SRE     ,ABSX           ,3    ,3     ,true   ,CZidbvN
0x60  ,RTS     ,IMP            ,1    ,6     ,false  ,czidbvn
0x61  ,ADC     ,INDX           ,2    ,6     ,false  ,CZidbVN
0x62  ,KIL     ,IMP            ,1    ,0     ,true   ,czidbvn
0x63  ,RRA     ,INDX           ,2    ,3     ,true   ,CZidbVN
0x64  ,NOP     ,ZP             ,2    ,3     ,true   ,czidbvn
0x65  ,ADC     ,ZP             ,2    ,3     ,false  ,CZidbVN
0x66  ,ROR     ,ZP             ,2    ,5     ,false  ,CZidbvN
0x67  ,RRA     ,ZP             ,2    ,3     ,true   ,CZidbVN
0x68  ,PLA     ,IMP            ,1    ,4     ,false  ,cZidbvN
0x69  ,ADC     ,IMM            ,2    ,2     ,false  ,CZidbVN
0x6a  ,ROR     ,ACC            ,1    ,2     ,false  ,CZidbvN
0x6b  ,ARR     ,IMM            ,2    ,3     ,true   ,CZidbVN
0x6c  ,JMP     ,IND            ,3    ,5     ,false  ,czidbvn
0x6d  ,ADC     ,ABS            ,3    ,4     ,false  ,CZidbVN
0x6e  ,ROR     ,ABSX           ,3    ,7     ,false  ,CZidbvN
0x6f  ,RRA     ,ABS            ,3    ,3     ,true   ,CZidbVN
0x70  ,BVS     ,REL            ,2    ,2/3   ,false  ,czidbvn
0x71  ,ADC     ,INDY           ,2    ,5/6   ,false  ,CZidbVN
0x72  ,KIL     ,IMP            ,1    ,0     ,true   ,czidbvn
0x73  ,RRA     ,INDY           ,2    ,3     ,true   ,CZidbVN
0x74  ,NOP     ,ZPX            ,2    ,4     ,true   ,czidbvn
0x75  ,ADC     ,ZPX            ,2    ,4     ,false  ,CZidbVN
0x76  ,ROR     ,ZPX            ,2    ,6     ,false  ,CZidbvN
0x77  ,RRA     ,ZPX            ,2    ,3     ,true   ,CZidbVN
0x78  ,SEI     ,IMP            ,1    ,2     ,false  ,czIdbvn
0x79  ,ADC     ,ABSY           ,3    ,4/5   ,false  ,CZidbVN
0x7a  ,NOP     ,IMP            ,1    ,2     ,true   ,czidbvn
0x7b  ,RRA     ,ABSY           ,3    ,3     ,true   ,CZidbVN
0x7c  ,NOP     ,ABSX           ,3    ,4/5   ,true   ,czidbvn
0x7d  ,ADC     ,ABSX           ,3    ,4/5   ,false  ,CZidbVN
0x7e  ,ROR     ,ABS            ,3    ,6     ,false  ,CZidbvN
0x7f  ,RRA     ,ABSX           ,3    ,3     ,true   ,CZidbVN
0x80  ,NOP     ,IMM            ,2    ,2     ,true   ,czidbvn
0x81  ,STA     ,INDX           ,2    ,6     ,false  ,czidbvn
0x82  ,KIL     ,IMP            ,1    ,0     ,true   ,czidbvn
